#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
input/CP182378.fasta	CP182378.1	254290	255114	+	gadX	1-825/825	===============	0/0	100.00	94.30	card	AP009048.1:3974604-3975429	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	fluoroquinolone;macrolide;penam
input/CP182378.fasta	CP182378.1	255483	256211	+	gadW	1-729/729	===============	0/0	100.00	95.61	card	CP015085.1:2552440-2551711	GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.	fluoroquinolone;macrolide;penam
input/CP182378.fasta	CP182378.1	256574	259687	-	mdtF	1-3114/3114	===============	0/0	100.00	98.49	card	U00096:3660413-3663527	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.	fluoroquinolone;macrolide;penam
input/CP182378.fasta	CP182378.1	259712	260869	-	mdtE	1-1158/1158	===============	0/0	100.00	98.79	card	AP009048.1:3981183-3980025	MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.	fluoroquinolone;macrolide;penam
input/CP182378.fasta	CP182378.1	448527	449159	-	CRP	1-633/633	===============	0/0	100.00	99.05	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
input/CP182378.fasta	CP182378.1	502046	505150	-	acrF	1-3105/3105	===============	0/0	100.00	97.78	card	U00096:3415032-3418137	AcrF is a inner membrane transporter similar to AcrB.	cephalosporin;cephamycin;fluoroquinolone;penam
input/CP182378.fasta	CP182378.1	505162	506319	-	acrE	1-1158/1158	===============	0/0	100.00	98.36	card	U00096:3413863-3415021	AcrE is a membrane fusion protein similar to AcrA.	cephalosporin;cephamycin;fluoroquinolone;penam
input/CP182378.fasta	CP182378.1	506718	507380	+	acrS	1-663/663	===============	0/0	100.00	98.79	card	U00096:3413465-3412802	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.	cephalosporin;cephamycin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
input/CP182378.fasta	CP182378.1	766248	767067	+	bacA	1-820/822	===============	0/0	99.76	96.22	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
input/CP182378.fasta	CP182378.1	787779	789266	-	tolC	1-1488/1488	===============	0/0	100.00	98.52	card	FJ768952:0-1488	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;macrolide;penam;penem;peptide;phenicol;rifamycin;tetracycline;triclosan
input/CP182378.fasta	CP182378.1	1246550	1248088	-	emrB	1-1539/1539	===============	0/0	100.00	97.99	card	U00096:2812615-2814154	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.	fluoroquinolone
input/CP182378.fasta	CP182378.1	1248105	1249277	-	emrA	1-1173/1173	===============	0/0	100.00	97.95	card	AP009048:2810082-2811255	EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.	fluoroquinolone
input/CP182378.fasta	CP182378.1	1249404	1249934	-	emrR	1-531/531	===============	0/0	100.00	99.44	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
input/CP182378.fasta	CP182378.1	1477899	1478373	-	mphB	3-477/477	===============	0/0	99.58	96.63	card	AE005174.2:3397370-3397847	The mphB gene encodes for MPH(2')-II. This enzymes phosphorylates 14-membered and 16-membered macrolides.  It phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.	macrolide
input/CP182378.fasta	CP182378.1	1499080	1502193	-	acrD	1-3114/3114	===============	0/0	100.00	98.78	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
input/CP182378.fasta	CP182378.1	1534325	1535629	-	Escherichia_coli_ampC1_beta-lactamase	1-1305/1305	===============	0/0	100.00	96.02	card	FN649414.1:2765050-2766355	An ampC-like beta-lactamase identified from Escherichia coli.	cephalosporin;penam
input/CP182378.fasta	CP182378.1	1593176	1596769	-	evgS	1-3594/3594	===============	0/0	100.00	96.83	card	U00096:2484373-2487967	EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	fluoroquinolone;macrolide;penam;tetracycline
input/CP182378.fasta	CP182378.1	1596774	1597388	-	evgA	1-615/615	===============	0/0	100.00	99.02	card	BA000007.3:3212025-3212640	EvgA when phosphorylated is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner it can be phosphorylated in the absence of EvgS when overexpressed.	fluoroquinolone;macrolide;penam;tetracycline
