#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
input/NZ_CP056361.fasta	NZ_CP056361.1	402698	403330	-	CRP	1-633/633	===============	0/0	100.00	88.94	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
input/NZ_CP056361.fasta	NZ_CP056361.1	752452	753266	+	bacA	1-818/822	========/======	4/5	99.03	84.00	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
input/NZ_CP056361.fasta	NZ_CP056361.1	771598	773085	-	tolC	1-1488/1488	========/======	5/12	99.60	83.07	card	FJ768952:0-1488	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.	aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;macrolide;penam;penem;peptide;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP056361.fasta	NZ_CP056361.1	1241183	1242721	-	emrB	1-1539/1539	===============	0/0	100.00	84.21	card	U00096:2812615-2814154	emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.	fluoroquinolone
input/NZ_CP056361.fasta	NZ_CP056361.1	1242738	1243910	-	emrA	1-1173/1173	========/======	2/2	99.91	82.54	card	AP009048:2810082-2811255	EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.	fluoroquinolone
input/NZ_CP056361.fasta	NZ_CP056361.1	1244041	1244571	-	emrR	1-531/531	===============	0/0	100.00	87.01	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
input/NZ_CP056361.fasta	NZ_CP056361.1	1504678	1507792	-	acrD	1-3114/3114	========/======	1/1	100.00	81.99	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
input/NZ_CP056361.fasta	NZ_CP056361.1	1789191	1790830	+	yojI	1-1640/1644	========/======	2/4	99.64	81.49	card	U00096.3:2308615-2306971	YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.	peptide
input/NZ_CP056361.fasta	NZ_CP056361.1	1945468	1946183	-	baeR	1-716/723	===============	0/0	99.03	82.96	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
input/NZ_CP056361.fasta	NZ_CP056361.1	1949019	1952071	-	mdtC	2-3054/3078	========/======	2/4	99.12	82.06	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
input/NZ_CP056361.fasta	NZ_CP056361.1	1952074	1955195	-	mdtB	1-3122/3123	===============	0/0	99.97	81.71	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
input/NZ_CP056361.fasta	NZ_CP056361.1	2334335	2334748	-	H-NS	1-414/414	===============	0/0	100.00	89.86	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
input/NZ_CP056361.fasta	NZ_CP056361.1	2610715	2611085	+	marA	1-371/384	===============	0/0	96.61	86.52	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP056361.fasta	NZ_CP056361.1	3129019	3130227	+	mdtH	1-1209/1209	===============	0/0	100.00	80.15	card	U00096:1125326-1124117	Multidrug resistance protein MdtH	fluoroquinolone
input/NZ_CP056361.fasta	NZ_CP056361.1	3259665	3261413	-	msbA	1-1749/1749	===============	0/0	100.00	83.13	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
input/NZ_CP056361.fasta	NZ_CP056361.1	3706851	3708044	+	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	81.83	card	U00096.3:485619-484425	AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. coli.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP056361.fasta	NZ_CP056361.1	3708067	3711216	+	acrB	1-3150/3150	===============	0/0	100.00	86.09	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP056361.fasta	NZ_CP056361.1	3813911	3815068	+	Escherichia_coli_ampH	1-1158/1158	===============	0/0	100.00	80.83	card	AP012030.1:396711-395553	AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.	cephalosporin;penam
input/NZ_CP056361.fasta	NZ_CP056361.1	4482535	4483680	+	CMY-70	1-1146/1146	===============	0/0	100.00	99.13	card	JX440350:1026-2172	CMY-70 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.	cephamycin
input/NZ_CP056361.fasta	NZ_CP056361.1	4841421	4842787	+	cpxA	1-1367/1374	===============	0/0	99.49	85.44	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
